"nr_num_surgical_masks","d_completed","cd_regio"
"","2020-04-06","VLA"
"300","2020-04-06","VLA"
"","2020-04-06","VLA"
"150","2020-04-06","VLA"
"200","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"90","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"500","2020-04-07","BRU"
"100","2020-04-07","VLA"
"","2020-04-07","VLA"
"","2020-04-07","VLA"
"60","2020-04-07","VLA"
"","2020-04-07","VLA"
"13.185","2020-04-08","VLA"
"","2020-04-08","VLA"
"150","2020-04-08","VLA"
"","2020-04-08","WAL"
"50","2020-04-08","VLA"
"80","2020-04-08","VLA"
"12181","2020-04-08","VLA"
"50","2020-04-08","BRU"
"","2020-04-08","VLA"
"20","2020-04-08","WAL"
"","2020-04-08","VLA"
"10","2020-04-08","WAL"
"45","2020-04-08","VLA"
"1617","2020-04-08","VLA"
"1419","2020-04-08","VLA"
"20","2020-04-08","VLA"
"4686","2020-04-08","VLA"
"","2020-04-09","VLA"
"","2020-04-09","WAL"
"","2020-04-09","VLA"
"","2020-04-09","WAL"
"50","2020-04-10","WAL"
"","2020-04-10","WAL"
"500","2020-04-13","VLA"
"150","2020-04-13","VLA"
"","2020-04-13","VLA"
"","2020-04-13","WAL"
"","2020-04-13","VLA"
"","2020-04-13","VLA"
"150","2020-04-13","BRU"
"50","2020-04-13","VLA"
"","2020-04-13","VLA"
"","2020-04-13","VLA"
"100","2020-04-13","VLA"
"100","2020-04-13","VLA"
"","2020-04-13","VLA"
"12181","2020-04-14","VLA"
"1419","2020-04-14","VLA"
"13185","2020-04-14","VLA"
"4686","2020-04-14","VLA"
"1617","2020-04-14","VLA"
"750","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","WAL"
"","2020-04-15","VLA"
"480","2020-04-15","VLA"
"","2020-04-15","VLA"
"100","2020-04-15","BRU"
"","2020-04-15","VLA"
"","2020-04-15","WAL"
"500","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"250","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","WAL"
"","2020-04-15","VLA"
"600","2020-04-15","VLA"
"","2020-04-15","VLA"
"250","2020-04-15","VLA"
"250","2020-04-15","VLA"
"","2020-04-17","WAL"
"","2020-04-20","VLA"
"","2020-04-20","WAL"
"","2020-04-20","VLA"
"","2020-04-20","VLA"
"","2020-04-20","WAL"
"","2020-04-20","WAL"
"600","2020-04-20","VLA"
"","2020-04-20","VLA"
"","2020-04-20","VLA"
"","2020-04-20","VLA"
"","2020-04-20","WAL"
"","2020-04-20","WAL"
"250","2020-04-20","VLA"
"50","2020-04-20","BRU"
"500","2020-04-20","VLA"
"","2020-04-20","VLA"
"","2020-04-20","WAL"
"250","2020-04-20","BRU"
"250","2020-04-20","VLA"
"250","2020-04-20","VLA"
"","2020-04-20","VLA"
"100","2020-04-20","BRU"
"","2020-04-20","VLA"
"","2020-04-20","VLA"
"","2020-04-20","VLA"
