"nr_num_consultations_phys","d_completed","cd_regio"
"14","2020-03-23","VLA"
"9999","2020-03-24","VLA"
"20","2020-03-24","VLA"
"5","2020-03-24","VLA"
"10","2020-03-24","VLA"
"10","2020-03-24","VLA"
"24","2020-03-24","VLA"
"11","2020-03-24","VLA"
"9999","2020-03-24","VLA"
"9999","2020-03-24","VLA"
"9","2020-03-24","VLA"
"12","2020-03-24","VLA"
"39","2020-03-24","VLA"
"20","2020-03-24","VLA"
"19","2020-03-24","VLA"
"14","2020-03-24","VLA"
"40","2020-03-24","VLA"
"59","2020-03-24","VLA"
"2","2020-03-24","VLA"
"33","2020-03-25","VLA"
"21","2020-03-25","VLA"
"24","2020-03-25","VLA"
"55","2020-03-25","VLA"
"7","2020-03-25","VLA"
"22","2020-03-25","VLA"
"8","2020-03-25","VLA"
"5","2020-03-25","VLA"
"40","2020-03-25","VLA"
"11","2020-03-25","VLA"
"4","2020-03-25","VLA"
"14","2020-03-25","VLA"
"15","2020-03-25","VLA"
"11","2020-03-25","VLA"
"10","2020-03-25","VLA"
"50","2020-03-25","VLA"
"20","2020-03-25","VLA"
"8","2020-03-25","VLA"
"3","2020-03-25","VLA"
"12","2020-03-25","VLA"
"29","2020-03-25","VLA"
"22","2020-03-25","VLA"
"43","2020-03-26","VLA"
"8","2020-03-26","VLA"
"21","2020-03-26","VLA"
"45","2020-03-26","VLA"
"20","2020-03-26","VLA"
"20","2020-03-26","VLA"
"12","2020-03-26","VLA"
"15","2020-03-26","VLA"
"14","2020-03-26","VLA"
"35","2020-03-26","VLA"
"32","2020-03-26","VLA"
"29","2020-03-26","VLA"
"7","2020-03-26","VLA"
"12","2020-03-26","VLA"
"39","2020-03-26","VLA"
"6","2020-03-26","VLA"
"14","2020-03-26","VLA"
"0","2020-03-26","VLA"
"49","2020-03-26","VLA"
"8","2020-03-26","VLA"
"14","2020-03-26","VLA"
"38","2020-03-26","VLA"
"63","2020-03-27","VLA"
"18","2020-03-27","VLA"
"25","2020-03-27","VLA"
"60","2020-03-27","VLA"
"8","2020-03-27","VLA"
"60","2020-03-27","VLA"
"23","2020-03-27","VLA"
"10","2020-03-27","VLA"
"7","2020-03-27","VLA"
"69","2020-03-27","VLA"
"13","2020-03-27","VLA"
"9","2020-03-27","VLA"
"11","2020-03-27","VLA"
"8","2020-03-27","VLA"
"49","2020-03-27","VLA"
"22","2020-03-27","VLA"
"13","2020-03-27","VLA"
"63","2020-03-27","VLA"
"24","2020-03-27","VLA"
"24","2020-03-27","VLA"
"23","2020-03-27","VLA"
"11","2020-03-28","VLA"
"18","2020-03-28","VLA"
"15","2020-03-28","VLA"
"7","2020-03-28","VLA"
"27","2020-03-28","VLA"
"53","2020-03-28","VLA"
"23","2020-03-28","VLA"
"6","2020-03-28","VLA"
"75","2020-03-28","VLA"
"22","2020-03-28","VLA"
"17","2020-03-28","VLA"
"5","2020-03-28","VLA"
"6","2020-03-28","VLA"
"37","2020-03-28","VLA"
"39","2020-03-28","VLA"
"35","2020-03-29","VLA"
"10","2020-03-29","VLA"
"2","2020-03-29","VLA"
"42","2020-03-29","VLA"
"1","2020-03-29","VLA"
"17","2020-03-29","VLA"
"30","2020-03-29","VLA"
"11","2020-03-29","VLA"
"53","2020-03-29","VLA"
"12","2020-03-29","VLA"
"13","2020-03-29","VLA"
"20","2020-03-29","VLA"
"2","2020-03-29","VLA"
"7","2020-03-29","VLA"
"1","2020-03-29","VLA"
"8","2020-03-30","VLA"
"27","2020-03-30","VLA"
"15","2020-03-30","VLA"
"13","2020-03-30","VLA"
"24","2020-03-30","VLA"
"65","2020-03-30","VLA"
"23","2020-03-30","VLA"
"12","2020-03-30","VLA"
"29","2020-03-30","VLA"
"11","2020-03-30","VLA"
"12","2020-03-30","VLA"
"25","2020-03-30","VLA"
"19","2020-03-30","VLA"
"11","2020-03-30","VLA"
"5","2020-03-30","VLA"
"99","2020-03-30","VLA"
"42","2020-03-30","VLA"
"18","2020-03-30","VLA"
"75","2020-03-30","VLA"
"54","2020-03-30","VLA"
"60","2020-03-30","VLA"
"44","2020-03-30","VLA"
"14","2020-03-30","VLA"
"58","2020-03-30","VLA"
"9","2020-03-31","VLA"
"4","2020-03-31","VLA"
"30","2020-03-31","VLA"
"13","2020-03-31","VLA"
"10","2020-03-31","VLA"
"26","2020-03-31","VLA"
"6","2020-03-31","VLA"
"29","2020-03-31","VLA"
"36","2020-03-31","VLA"
"22","2020-03-31","VLA"
"7","2020-03-31","VLA"
"70","2020-03-31","VLA"
"12","2020-03-31","VLA"
"42","2020-03-31","VLA"
"3","2020-03-31","VLA"
"28","2020-03-31","VLA"
"10","2020-03-31","VLA"
"30","2020-03-31","VLA"
"62","2020-03-31","VLA"
"44","2020-03-31","VLA"
"77","2020-03-31","VLA"
"5","2020-03-31","VLA"
"61","2020-03-31","VLA"
"12","2020-03-31","VLA"
"6","2020-03-31","VLA"
"0","2020-03-31","VLA"
"15","2020-03-31","VLA"
"30","2020-03-31","VLA"
"40","2020-03-31","VLA"
"25","2020-03-31","VLA"
"16","2020-03-31","VLA"
"1","2020-03-31","VLA"
"22","2020-03-31","VLA"
"13","2020-03-31","VLA"
"13","2020-03-31","VLA"
"37","2020-03-31","VLA"
"16","2020-03-31","VLA"
"10","2020-03-31","VLA"
"20","2020-03-31","VLA"
"15","2020-03-31","VLA"
"44","2020-04-01","VLA"
"20","2020-04-01","VLA"
"21","2020-04-01","VLA"
"12","2020-04-01","VLA"
"6","2020-04-01","VLA"
"32","2020-04-01","VLA"
"13","2020-04-01","VLA"
"6","2020-04-01","VLA"
"9","2020-04-01","VLA"
"25","2020-04-01","VLA"
"13","2020-04-01","VLA"
"51","2020-04-01","VLA"
"0","2020-04-01","VLA"
"24","2020-04-01","VLA"
"0","2020-04-01","VLA"
"25","2020-04-01","VLA"
"13","2020-04-01","VLA"
"13","2020-04-01","VLA"
"3","2020-04-01","VLA"
"8","2020-04-01","VLA"
"14","2020-04-01","VLA"
"32","2020-04-01","VLA"
"16","2020-04-01","VLA"
"5","2020-04-01","VLA"
"5","2020-04-01","VLA"
"12","2020-04-01","VLA"
"3","2020-04-01","VLA"
"24","2020-04-01","VLA"
"35","2020-04-01","VLA"
"19","2020-04-01","VLA"
"12","2020-04-01","VLA"
"40","2020-04-01","VLA"
"19","2020-04-01","VLA"
"24","2020-04-01","VLA"
"14","2020-04-01","VLA"
"26","2020-04-01","VLA"
"19","2020-04-01","VLA"
"15","2020-04-01","VLA"
"43","2020-04-01","VLA"
"18","2020-04-01","VLA"
"0","2020-04-01","VLA"
"44","2020-04-01","VLA"
"45","2020-04-01","VLA"
"16","2020-04-01","VLA"
"12","2020-04-01","VLA"
"13","2020-04-01","VLA"
"11","2020-04-01","VLA"
"45","2020-04-01","VLA"
"25","2020-04-01","VLA"
"31","2020-04-01","VLA"
"10","2020-04-01","VLA"
"2","2020-04-01","VLA"
"15","2020-04-01","VLA"
"34","2020-04-01","VLA"
"54","2020-04-01","VLA"
"52","2020-04-01","VLA"
"15","2020-04-01","VLA"
"37","2020-04-02","VLA"
"5","2020-04-02","VLA"
"5","2020-04-02","VLA"
"20","2020-04-02","VLA"
"8","2020-04-02","VLA"
"16","2020-04-02","VLA"
"37","2020-04-02","VLA"
"15","2020-04-02","VLA"
"5","2020-04-02","VLA"
"11","2020-04-02","VLA"
"20","2020-04-02","VLA"
"59","2020-04-02","VLA"
"18","2020-04-02","VLA"
"5","2020-04-02","VLA"
"33","2020-04-02","VLA"
"29","2020-04-02","VLA"
"9","2020-04-02","VLA"
"15","2020-04-02","VLA"
"14","2020-04-02","VLA"
"10","2020-04-02","VLA"
"73","2020-04-02","VLA"
"16","2020-04-02","VLA"
"21","2020-04-02","WAL"
"55","2020-04-02","VLA"
"19","2020-04-02","VLA"
"17","2020-04-02","VLA"
"21","2020-04-02","VLA"
"27","2020-04-02","VLA"
"10","2020-04-02","VLA"
"8","2020-04-02","VLA"
"22","2020-04-02","VLA"
"48","2020-04-02","VLA"
"23","2020-04-02","VLA"
"32","2020-04-02","VLA"
"17","2020-04-02","VLA"
"52","2020-04-02","VLA"
"11","2020-04-02","VLA"
"22","2020-04-03","VLA"
"40","2020-04-03","VLA"
"8","2020-04-03","VLA"
"45","2020-04-03","VLA"
"13","2020-04-03","VLA"
"62","2020-04-03","VLA"
"42","2020-04-03","VLA"
"16","2020-04-03","VLA"
"20","2020-04-03","VLA"
"13","2020-04-03","VLA"
"14","2020-04-03","VLA"
"11","2020-04-03","VLA"
"7","2020-04-03","VLA"
"7","2020-04-03","VLA"
"0","2020-04-03","VLA"
"25","2020-04-03","VLA"
"23","2020-04-03","VLA"
"28","2020-04-03","VLA"
"37","2020-04-03","VLA"
"10","2020-04-03","VLA"
"17","2020-04-03","VLA"
"25","2020-04-03","VLA"
"24","2020-04-03","VLA"
"15","2020-04-03","VLA"
"28","2020-04-03","VLA"
"34","2020-04-03","VLA"
"26","2020-04-03","VLA"
"36","2020-04-03","VLA"
"13","2020-04-03","VLA"
"12","2020-04-03","VLA"
"111","2020-04-03","VLA"
"92","2020-04-03","VLA"
"33","2020-04-03","VLA"
"18","2020-04-03","VLA"
"4","2020-04-03","VLA"
