"nr_num_infection_masks","d_completed","cd_regio"
"","2020-04-06","VLA"
"250","2020-04-06","VLA"
"12","2020-04-06","VLA"
"150","2020-04-06","VLA"
"18","2020-04-06","VLA"
"2","2020-04-06","VLA"
"60","2020-04-06","VLA"
"10","2020-04-06","VLA"
"15","2020-04-06","VLA"
"50","2020-04-06","VLA"
"30","2020-04-06","VLA"
"20","2020-04-06","VLA"
"20","2020-04-06","VLA"
"10","2020-04-06","VLA"
"30","2020-04-06","VLA"
"90","2020-04-06","VLA"
"30","2020-04-06","VLA"
"40","2020-04-06","VLA"
"4","2020-04-06","VLA"
"70","2020-04-06","VLA"
"150","2020-04-06","VLA"
"150","2020-04-06","VLA"
"2","2020-04-06","VLA"
"30","2020-04-06","BRU"
"8","2020-04-06","VLA"
"20","2020-04-06","VLA"
"100","2020-04-06","VLA"
"5","2020-04-06","VLA"
"50","2020-04-06","VLA"
"60","2020-04-06","VLA"
"7","2020-04-06","VLA"
"","2020-04-06","VLA"
"50","2020-04-06","VLA"
"10","2020-04-06","VLA"
"100","2020-04-06","VLA"
"120","2020-04-06","VLA"
"30","2020-04-06","VLA"
"20","2020-04-06","VLA"
"30","2020-04-06","VLA"
"20","2020-04-06","VLA"
"","2020-04-06","VLA"
"30","2020-04-06","VLA"
"10","2020-04-06","VLA"
"","2020-04-06","VLA"
"50","2020-04-06","VLA"
"15","2020-04-06","VLA"
"30","2020-04-06","VLA"
"30","2020-04-06","VLA"
"20","2020-04-06","VLA"
"","2020-04-06","VLA"
"50","2020-04-06","VLA"
"6","2020-04-06","VLA"
"30","2020-04-06","VLA"
"20","2020-04-06","VLA"
"30","2020-04-06","VLA"
"360","2020-04-06","VLA"
"30","2020-04-06","VLA"
"15","2020-04-06","VLA"
"20","2020-04-06","VLA"
"10","2020-04-06","VLA"
"3","2020-04-06","VLA"
"30","2020-04-06","VLA"
"","2020-04-06","VLA"
"12","2020-04-06","VLA"
"","2020-04-06","VLA"
"10","2020-04-06","VLA"
"14","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"30","2020-04-06","VLA"
"20","2020-04-06","VLA"
"","2020-04-06","VLA"
"50","2020-04-06","VLA"
"14","2020-04-06","VLA"
"10","2020-04-06","VLA"
"0","2020-04-06","VLA"
"10","2020-04-06","VLA"
"40","2020-04-06","VLA"
"600","2020-04-06","VLA"
"","2020-04-06","VLA"
"30","2020-04-06","VLA"
"12","2020-04-06","VLA"
"30","2020-04-06","VLA"
