"nr_num_cp_cohort_inside","d_completed","cd_regio"
"3","2020-04-06","VLA"
"0","2020-04-06","VLA"
"11","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"2","2020-04-06","VLA"
"3","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"3","2020-04-06","VLA"
"18","2020-04-07","BRU"
"0","2020-04-07","VLA"
"0","2020-04-07","VLA"
"0","2020-04-07","VLA"
"2","2020-04-07","VLA"
"0","2020-04-07","VLA"
"3","2020-04-08","VLA"
"0","2020-04-08","VLA"
"0","2020-04-08","VLA"
"13","2020-04-08","VLA"
"0","2020-04-08","BRU"
"5","2020-04-08","VLA"
"9","2020-04-08","VLA"
"11","2020-04-08","VLA"
"4","2020-04-08","VLA"
"0","2020-04-08","VLA"
"0","2020-04-08","WAL"
"10","2020-04-08","WAL"
"4","2020-04-08","VLA"
"0","2020-04-08","VLA"
"1","2020-04-08","WAL"
"7","2020-04-08","VLA"
"0","2020-04-08","VLA"
"0","2020-04-09","VLA"
"3","2020-04-09","WAL"
"3","2020-04-09","VLA"
"3","2020-04-09","WAL"
"15","2020-04-10","WAL"
"9","2020-04-10","WAL"
"15","2020-04-13","VLA"
"0","2020-04-13","VLA"
"4","2020-04-13","VLA"
"6","2020-04-13","VLA"
"17","2020-04-13","VLA"
"22","2020-04-13","VLA"
"3","2020-04-13","VLA"
"13","2020-04-13","VLA"
"29","2020-04-13","BRU"
"5","2020-04-13","VLA"
"0","2020-04-13","WAL"
"7","2020-04-13","VLA"
"3","2020-04-13","VLA"
"0","2020-04-14","VLA"
"0","2020-04-14","VLA"
"0","2020-04-14","VLA"
"0","2020-04-14","VLA"
"0","2020-04-14","VLA"
"0","2020-04-15","VLA"
"0","2020-04-15","VLA"
"9","2020-04-15","VLA"
"12","2020-04-15","VLA"
"0","2020-04-15","WAL"
"1","2020-04-15","WAL"
"3","2020-04-15","VLA"
"0","2020-04-15","VLA"
"0","2020-04-15","VLA"
"0","2020-04-15","VLA"
"6","2020-04-15","VLA"
"4","2020-04-15","BRU"
"0","2020-04-15","VLA"
"3","2020-04-15","WAL"
"14","2020-04-15","VLA"
"0","2020-04-15","VLA"
"7","2020-04-15","VLA"
"4","2020-04-15","VLA"
"0","2020-04-15","VLA"
"0","2020-04-15","VLA"
"7","2020-04-15","VLA"
"3","2020-04-15","VLA"
"4","2020-04-17","WAL"
"0","2020-04-20","VLA"
"4","2020-04-20","VLA"
"15","2020-04-20","VLA"
"0","2020-04-20","BRU"
"1","2020-04-20","WAL"
"10","2020-04-20","VLA"
"0","2020-04-20","VLA"
"5","2020-04-20","VLA"
"2","2020-04-20","BRU"
"0","2020-04-20","BRU"
"6","2020-04-20","VLA"
"0","2020-04-20","WAL"
"0","2020-04-20","WAL"
"0","2020-04-20","VLA"
"0","2020-04-20","VLA"
"14","2020-04-20","VLA"
"10","2020-04-20","VLA"
"4","2020-04-20","VLA"
"0","2020-04-20","VLA"
"0","2020-04-20","VLA"
"0","2020-04-20","VLA"
"0","2020-04-20","WAL"
"0","2020-04-20","WAL"
"3","2020-04-20","VLA"
"0","2020-04-20","WAL"
